#GROUP:PG1,,,,,,,,,,,,,,,,,,,,,,,,,
30,318,340,362,383,405,427,449,470,492,514,536,557,579,601,623,644,,,,,,,,,
36,322,345,368,391,414,436,459,482,505,528,550,573,596,619,642,664,,,,,,,,,
42,327,351,375,399,423,446,470,494,518,542,566,590,614,637,661,685,,,,,,,,,
48,331,356,381,406,431,456,481,506,531,556,581,606,630,655,680,705,,,,,,,,,
54,336,362,388,414,439,465,491,517,543,569,595,621,647,673,699,725,,,,,,,,,
60,340,367,394,421,448,476,503,530,557,584,611,638,665,692,719,746,,,,,,,,,
66,345,373,401,429,457,485,513,541,569,597,626,654,682,710,738,766,,,,,,,,,
72,349,378,408,437,466,495,524,553,582,612,641,670,699,728,757,787,,,,,,,,,
78,354,384,415,445,475,505,535,566,596,626,656,687,717,747,777,807,,,,,,,,,
84,358,390,421,452,483,515,546,577,609,640,671,702,734,765,796,827,,,,,,,,,
90,363,395,428,460,492,525,557,590,622,654,687,719,751,784,816,848,,,,,,,,,
96,367,401,434,468,501,534,568,601,635,668,701,735,768,802,835,868,,,,,,,,,
102,372,406,441,475,509,544,578,613,647,682,716,751,785,820,854,888,,,,,,,,,
108,376,412,448,483,519,554,590,625,661,696,732,767,803,838,874,909,,,,,,,,,
114,381,417,454,490,527,564,600,637,673,710,746,783,820,856,893,929,,,,,,,,,
120,385,423,460,498,535,573,611,648,686,724,761,799,837,874,912,949,,,,,,,,,
126,390,429,467,506,545,583,622,661,700,738,777,816,854,893,932,970,,,,,,,,,
132,394,434,474,513,553,593,633,672,712,752,792,831,871,911,951,990,,,,,,,,,
138,398,439,480,521,562,603,643,684,725,766,807,847,888,929,970,1011,,,,,,,,,
144,403,445,486,528,570,612,654,696,738,779,821,863,905,947,989,1031,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#TARGET:illusionxl,,,,,,,,,,,,,,,,,,,,,,,,,
